URL followed by	REASON
URL: "http://nsidc.org/data/AMSR-L1A.html"	temp_moved(13)
URL: "http://nsidc.org/data/NSIDC-0273.html"	temp_moved(13)
URL: "http://nsidc.org/data/NSIDC-0526.html"	temp_moved(13)
URL: "http://nsidc.org/data/NSIDC-0528.html"	temp_moved(13)
URL: "http://nsidc.org/data/NSIDC-0529.html"	temp_moved(13)
URL: "http://nsidc.org/data/aa_l2a.html"	temp_moved(13)
URL: "http://nsidc.org/data/ae_5dsno.html"	temp_moved(13)
URL: "http://nsidc.org/data/ae_dyocn.html"	temp_moved(13)
URL: "http://nsidc.org/data/ae_dysno.html"	temp_moved(13)
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/RedirectAction.do?target=S6cqF6vMwKxWfnpamF9Bz4%2FcTrTyNthyt5DeJp7%2F2I0%3D"	temp_moved(13)
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/RedirectAction.do?target=S6cqF6vMwKxWjf5lrZxWGWCk1f%2BPS5Ws0Ww3lsDq8IU%3D"	temp_moved(13)
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/RedirectAction.do?target=S6cqF6vMwKxXBQCZehGARXWMVPHREUoZ8Zpxol1P2WFWk2lh0sxacbeQ3iae%2F9iN"	temp_moved(13)
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/RedirectAction.do?target=S6cqF6vMwKxXBQCZehGARXWMVPHREUoZ8Zpxol1P2WG3kN4mnv%2FYjQ%3D%3D"	temp_moved(13)
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/RedirectAction.do?target=S6cqF6vMwKxb0TZY3v%2BlTrD5DldAjJK21fZtdl8s1a%2BF%2FPjYKwe6WxdkZOhBs1JAtG208pXHJk8%3D"	temp_moved(13)
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/RedirectAction.do?target=S6cqF6vMwKxe%2B8QIIveeJb1KX8UQL%2F6oE7FGjB6jaPIUZlFU0heSaPwWVoiS9KndGWOyDON72d2I%0D%0AyXrfKbGa0LeQ3iae%2F9iN"	temp_moved(13)
URL: "http://nsidc.org/forms/AQ2_SM_or.html"	robots_denied(18)
URL: "http://nsidc.org/forms/AQ3_ANSM_or.html"	robots_denied(18)
URL: "http://nsidc.org/forms/AQ3_DYSM_or.html"	robots_denied(18)
URL: "http://nsidc.org/forms/AQ3_MOSM_or.html"	robots_denied(18)
URL: "http://nsidc.org/forms/AQ3_NRCS_or.html"	robots_denied(18)
URL: "http://gcmd.gsfc.nasa.gov/DocumentBuilder/Metadata.do?OrigMetadataNode=GCMD&EntryId=ucar.scd.vets.vg.pumping&Portal=GCMD&RequestAction=Build&MetadataType=0&UseCacheDocument=true&interface=FROMGETDIF"	robots_denied(18)
URL: "http://gcmd.gsfc.nasa.gov/DocumentBuilder/Metadata.do?OrigMetadataNode=NOAA-NGDC&EntryId=gov.noaa.ngdc.sem.goes_mag_g00038&Portal=GCMD&RequestAction=Build&MetadataType=0&UseCacheDocument=true&interface=FROMGETDIF"	robots_denied(18)
URL: "http://gcmd.gsfc.nasa.gov/DocumentBuilder/Metadata.do?OrigMetadataNode=NOAA-NGDC&EntryId=gov.noaa.ngdc.sem.goes_mag_g00038&RequestAction=Build&Portal=GCMD&MetadataType=0&UseCacheDocument=true&interface=FROMGETDIF"	robots_denied(18)
URL: "http://gcmd.gsfc.nasa.gov/DocumentBuilder/Metadata.do?OrigMetadataNode=NOAA-NGDC&EntryId=gov.noaa.ngdc.sem.poes_sem_g00188&Portal=GCMD&RequestAction=Build&MetadataType=0&UseCacheDocument=true&interface=FROMGETDIF"	robots_denied(18)
URL: "http://gcmd.gsfc.nasa.gov/DocumentBuilder/Metadata.do?OrigMetadataNode=NOAA-NGDC&EntryId=gov.noaa.ngdc.sem.poes_sem_g00188&RequestAction=Build&Portal=GCMD&MetadataType=0&UseCacheDocument=true&interface=FROMGETDIF"	robots_denied(18)
URL: "http://gcmd.gsfc.nasa.gov/DocumentBuilder/Metadata.do?OrigMetadataNode=NOAA-NGDC&EntryId=gov.noaa.ngdc.stp.solar.solar-indices&Portal=GCMD&RequestAction=Build&MetadataType=0&UseCacheDocument=true&interface=FROMGETDIF"	robots_denied(18)
URL: "http://nsidc.org/antarctica/megadunes/dunes.html"	notfound(14)
